monkey_id lid pid lid_pid age_at_sampling within.age mean.age individual_sex reads unique non_unique meth_cpg unmeth_cpg reads_msp1 perc_chg_meth perc_chh_meth chrX_ratio prep_date parentName grantparent_tissueType date_birth processing_timestamp university perc_unique n
57 51V LID_103928 PID_10123 LID_103928_PID_10123 15.1 2.99 12.11 F 10757188 5199166 2075574 6578195 12715500 10089498 0.6% 0.4% 0.761892 2019-08-08 DID_1003663 whole_blood 2003-10-29 2018-12-06 uw 0.483320176239367 2
58 76J LID_103931 PID_10123 LID_103931_PID_10123 19.91 3.92 15.99 F 10764531 5057143 2131080 7201202 11945792 10334123 0.6% 0.4% 0.763625 2019-08-08 DID_1003666 whole_blood 1999-01-19 2018-12-18 uw 0.469796872710943 2
59 93O LID_103937 PID_10123 LID_103937_PID_10123 18.03 3.65 14.38 F 10670848 4939999 2245188 6061209 12318340 10054918 0.7% 0.5% 0.778652 2019-08-08 DID_1003672 whole_blood 2000-12-02 2018-12-14 uw 0.46294343242449 3
60 31S LID_103951 PID_10123 LID_103951_PID_10123 17 3.28 13.72 M 21457378 10271702 4247537 13393055 24229728 20282451 0.7% 0.5% 0.479864 2019-08-08 DID_1003687 whole_blood 2001-12-05 2018-12-05 uw 0.47870257027676 3
61 7F0 LID_103958 PID_10123 LID_103958_PID_10123 11.2 3.01 8.19 F 18766071 8898158 3817364 11978588 21393523 17854026 0.6% 0.5% 0.780559 2019-08-08 DID_1003694 whole_blood 2007-09-24 2018-12-06 uw 0.474162012922151 2
62 37V LID_103960 PID_10123 LID_103960_PID_10123 15.07 3.42 11.65 F 12241756 5785516 2426739 8210838 13439372 11701109 0.6% 0.4% 0.785707 2019-08-08 DID_1003696 whole_blood 2003-11-15 2018-12-11 uw 0.472605073977949 2
63 44V LID_103962 PID_10123 LID_103962_PID_10123 14.79 3.93 10.86 F 9505540 4584728 1823627 5725169 11813629 8940396 0.6% 0.4% 0.786493 2019-08-08 DID_1003698 whole_blood 2004-02-13 2018-11-27 uw 0.482321677674283 2
64 6D4 LID_103978 PID_10123 LID_103978_PID_10123 12.18 3.03 9.15 F 7110418 3188597 1524281 4585687 7177232 6814022 0.7% 0.5% 0.774444 2019-08-08 DID_1003714 whole_blood 2006-10-14 2018-12-18 uw 0.448440162027043 2
65 1L1 LID_103988 PID_10123 LID_103988_PID_10123 8.17 1.545 6.625 F 8713159 4166588 1649540 5992647 10084906 8398143 0.7% 0.5% 0.777683 2019-08-08 DID_1003725 whole_blood 2010-09-26 2018-11-27 uw 0.478194877426201 2
66 98Z LID_103994 PID_10123 LID_103994_PID_10123 14.06 2.505 11.555 M 13056201 5879930 2914805 6625329 14911759 12270952 0.6% 0.4% 0.487317 2019-08-08 DID_1003731 whole_blood 2004-11-21 2018-12-14 uw 0.450355352219225 2
67 42T LID_103995 PID_10123 LID_103995_PID_10123 15.96 3.445 12.515 M 12762053 5977954 2623190 7018980 15866708 12003487 0.6% 0.5% 0.476809 2019-08-08 DID_1003732 whole_blood 2002-12-28 2018-12-14 uw 0.468416327686462 2
68 3A6 LID_104001 PID_10123 LID_104001_PID_10123 11.98 1.77635683940025e-15 11.98 M 9896757 4301466 2279366 6448548 9113224 9546288 0.7% 0.5% 0.483798 2019-08-08 DID_1003527 whole_blood 2004-11-07 2016-11-01 uw 0.434633890677522 2
69 50I LID_104003 PID_10123 LID_104003_PID_10123 13.16 -7.33 20.49 F 18747020 9021575 4377177 12616350 12790238 16347754 0.6% 0.4% 0.826463 2019-08-28 DID_1001371 whole_blood 1997-12-11 2011-02-07 uw 0.481227149701659 4
70 19A LID_104007 PID_10123 LID_104007_PID_10123 18.88 -1.5 20.38 F 23801057 11854375 4929796 17602096 21807477 22518731 0.6% 0.4% 0.811428 2019-08-28 DID_1001267 whole_blood 1992-03-01 2011-01-18 uw 0.498060863431401 2
71 34Z LID_104010 PID_10123 LID_104010_PID_10123 7.01 -5.315 12.325 F 13577287 5865638 3321872 8606183 11485597 13028712 0.6% 0.4% 0.762476 2019-08-28 DID_1001343 whole_blood 2004-02-27 2011-03-02 uw 0.432018414282618 2
72 76J LID_104019 PID_10123 LID_104019_PID_10123 12.07 -3.92 15.99 F 17198935 7146034 4873331 10006617 12752526 16397255 0.6% 0.4% 0.792743 2019-08-28 DID_1001377 whole_blood 1999-01-19 2011-02-14 uw 0.415492819758898 2
73 30L LID_104032 PID_10123 LID_104032_PID_10123 10.04 -4.8675 14.9075 M 21914793 9601783 5027305 13710847 21321574 20997079 0.5% 0.3% 0.479302 2019-08-28 DID_1001512 whole_blood 2000-01-04 2010-01-20 uw 0.438141624244409 4
74 52P LID_104033 PID_10123 LID_104033_PID_10123 9.22 -6.838 16.058 F 14774959 6207508 3845760 8305561 13482752 14145441 0.5% 0.4% 0.748765 2019-08-28 DID_1001487 whole_blood 2000-12-17 2010-03-08 uw 0.420137071107947 5
75 78I LID_104035 PID_10123 LID_104035_PID_10123 13.17 -5.8275 18.9975 F 17892971 7865603 4741619 10976034 13918102 16930308 0.6% 0.4% 0.794835 2019-08-28 DID_1001379 whole_blood 1997-12-15 2011-02-14 uw 0.439591781599601 4
